Level,Name,Code,Parent
Barangay,BALITE,BEI,SAN FRANCISCO (ANAO-AON)
Barangay,BANBANON,BNA,SAN FRANCISCO (ANAO-AON)
Barangay,DIAZ,DZA,SAN FRANCISCO (ANAO-AON)
Barangay,HONRADO,HOR,SAN FRANCISCO (ANAO-AON)
Barangay,JUBGAN,JNG,SAN FRANCISCO (ANAO-AON)
Barangay,LINONGGANAN,LNG,SAN FRANCISCO (ANAO-AON)
Barangay,MACOPA,MAO,SAN FRANCISCO (ANAO-AON)
Barangay,MAGTANGALE,MEN,SAN FRANCISCO (ANAO-AON)
Barangay,OSLAO,OOL,SAN FRANCISCO (ANAO-AON)
Barangay,POBLACION,PNA,SAN FRANCISCO (ANAO-AON)
Municipality,SAN ISIDRO,SN2,SURIGAO DEL NORTE
Barangay,BUHING CALIPAY,BYC,SAN ISIDRO
Barangay,DEL CARMEN (POB.),DNA,SAN ISIDRO
Barangay,DEL PILAR,DRI,SAN ISIDRO
Barangay,MACAPAGAL,MLP,SAN ISIDRO
Barangay,PACIFICO,POF,SAN ISIDRO
Barangay,PELAEZ,PZA,SAN ISIDRO
Barangay,ROXAS,RSX,SAN ISIDRO
Barangay,SAN MIGUEL,SLI,SAN ISIDRO
Barangay,SANTA PAZ,SZA,SAN ISIDRO
Barangay,SANTO NIÃ‘O,SOO,SAN ISIDRO
Barangay,TAMBACAN,TNA,SAN ISIDRO
Barangay,TIGASAO,TOA,SAN ISIDRO
Municipality,SANTA MONICA (SAPAO),SNT,SURIGAO DEL NORTE
Barangay,ABAD SANTOS,ASA,SANTA MONICA (SAPAO)
Barangay,ALEGRIA,AAG,SANTA MONICA (SAPAO)
Barangay,BAILAN,BNL,SANTA MONICA (SAPAO)
Barangay,GARCIA,GAC,SANTA MONICA (SAPAO)
Barangay,LIBERTAD,LDR,SANTA MONICA (SAPAO)
Barangay,MABINI,MII,SANTA MONICA (SAPAO)
Barangay,MABUHAY (POB.),MYU,SANTA MONICA (SAPAO)
Barangay,MAGSAYSAY,MYA,SANTA MONICA (SAPAO)
Barangay,RIZAL,RLZ,SANTA MONICA (SAPAO)
Barangay,T. ARLAN (POB.),TNL,SANTA MONICA (SAPAO)
Barangay,TANGBO,TOG,SANTA MONICA (SAPAO)
Municipality,SISON,SSO,SURIGAO DEL NORTE
Barangay,BIYABID,BDA,SISON
Barangay,GACEPAN,GNE,SISON
Barangay,IMA,IAM,SISON
Barangay,LOWER PATAG,LGP,SISON
Barangay,MABUHAY,MYU,SISON
Barangay,MAYAG,MGY,SISON
Barangay,POBLACION (SAN PEDRO),PNA,SISON
Barangay,SAN ISIDRO,SOS,SISON
Barangay,SAN PABLO,SOA,SISON
Barangay,TAGBAYANI,TIA,SISON
Barangay,TINOGPAHAN,TNP,SISON
Barangay,UPPER PATAG,UGP,SISON
Municipality,SOCORRO,SCO,SURIGAO DEL NORTE
Barangay,ALBINO TARUC,ACO,SOCORRO
Barangay,DEL PILAR,DRI,SOCORRO
Barangay,HELENE,HEE,SOCORRO
Barangay,HONRADO,HOR,SOCORRO
Barangay,NAVARRO (POB.),NOA,SOCORRO
Barangay,NUEVA ESTRELLA,NAS,SOCORRO
Barangay,PAMOSAINGAN,PNA,SOCORRO
Barangay,RIZAL (POB.),RLZ,SOCORRO
Barangay,SALOG,SGL,SOCORRO
Barangay,SAN ROQUE,SEO,SOCORRO
Barangay,SANTA CRUZ,SZA,SOCORRO
Barangay,SERING,SGI,SOCORRO
Barangay,SONGKOY,SYG,SOCORRO
Barangay,SUDLON,SNL,SOCORRO
Municipality,SURIGAO CITY,SRI,SURIGAO DEL NORTE
Barangay,ALANG-ALANG,AGA,SURIGAO CITY
Barangay,ALEGRIA,AAG,SURIGAO CITY
Barangay,ANOMAR,ARM,SURIGAO CITY
Barangay,AURORA,AAO,SURIGAO CITY
Barangay,BALIBAYON,BNB,SURIGAO CITY
Barangay,BAYBAY,BYB,SURIGAO CITY
Barangay,BILABID,BDA,SURIGAO CITY
Barangay,BITAUGAN,BNU,SURIGAO CITY
Barangay,BONIFACIO,BOF,SURIGAO CITY
Barangay,BUENAVISTA,BAV,SURIGAO CITY
Barangay,CABONGBONGAN,CNB,SURIGAO CITY
Barangay,CAGNIOG,CGN,SURIGAO CITY
Barangay,CAGUTSAN,CNT,SURIGAO CITY
Barangay,CANLANIPA,CAA,SURIGAO CITY
Barangay,CANTIASAY,CYI,SURIGAO CITY
Barangay,CAPALAYAN,CNL,SURIGAO CITY
Barangay,CATADMAN,CND,SURIGAO CITY
Barangay,DANAO,DON,SURIGAO CITY
Barangay,DANAWAN,DNA,SURIGAO CITY
Barangay,DAY-ASAN,DN1,SURIGAO CITY
Barangay,IPIL,ILI,SURIGAO CITY
Barangay,LIBUAC,LCU,SURIGAO CITY
Barangay,LIPATA,LAA,SURIGAO CITY
Barangay,LISONDRA,LAN,SURIGAO CITY
Barangay,LUNA,LA1,SURIGAO CITY
Barangay,MABINI,MII,SURIGAO CITY
Barangay,MABUA,MAB,SURIGAO CITY
Barangay,MANYAGAO,MOA,SURIGAO CITY
Barangay,MAPAWA,MAA,SURIGAO CITY
Barangay,MAT-I,MIT,SURIGAO CITY
Barangay,NABAGO,NOA,SURIGAO CITY
Barangay,NONOC,NCN,SURIGAO CITY
Barangay,OROK,OKO,SURIGAO CITY
Barangay,POCTOY,PYT,SURIGAO CITY
Barangay,PUNTA BILAR,PRB,SURIGAO CITY
Barangay,QUEZON,QNZ,SURIGAO CITY
Barangay,RIZAL,RLZ,SURIGAO CITY
Barangay,SABANG,SGA,SURIGAO CITY
Barangay,SAN ISIDRO,SOS,SURIGAO CITY
Barangay,SAN JOSE,SEJ,SURIGAO CITY
Barangay,SAN JUAN,SNJ,SURIGAO CITY
Barangay,SAN PEDRO (HANIGAD),SOE,SURIGAO CITY
Barangay,SAN ROQUE,SEO,SURIGAO CITY
Barangay,SERNA (BAD-ASAY),SAR,SURIGAO CITY
Barangay,SIDLAKAN,SNA,SURIGAO CITY
Barangay,SILOP,SPL,SURIGAO CITY
Barangay,SUGBAY,SYB,SURIGAO CITY
Barangay,SUKAILANG,SGI,SURIGAO CITY
Barangay,TAFT (POB.),TTF,SURIGAO CITY
Barangay,TALISAY,TYI,SURIGAO CITY
Barangay,TOGBONGON,TNO,SURIGAO CITY
Barangay,TRINIDAD,TDI,SURIGAO CITY
