Level,Name,Code,Parent
Barangay,SAN ISIDRO,SIN,ESPERANZA
Barangay,SAN JOSE,SJN,ESPERANZA
Barangay,SAN TORIBIO,STN,ESPERANZA
Barangay,SAN VICENTE,SVN,ESPERANZA
Barangay,SANTA FE,SFN,ESPERANZA
Barangay,SEGUNDA,SEG,ESPERANZA
Barangay,SINAKUNGAN,SI1,ESPERANZA
Barangay,TAGABASE,TAG,ESPERANZA
Barangay,TAGANAHAW,TA1,ESPERANZA
Barangay,TAGBALILI,TA2,ESPERANZA
Barangay,TAHINA,TAH,ESPERANZA
Barangay,TANDANG SORA,TSN,ESPERANZA
Barangay,VALENTINA,VAL,ESPERANZA
Municipality,LA PAZ,LPX,AGUSAN DEL SUR
Barangay,ANGELES,ANG,LA PAZ
Barangay,BATAAN,BAT,LA PAZ
Barangay,COMOTA,COM,LA PAZ
Barangay,HALAPITAN,HAL,LA PAZ
Barangay,KASAPA II,KIS,LA PAZ
Barangay,LANGASIAN,LAN,LA PAZ
Barangay,LYDIA,LYD,LA PAZ
Barangay,"OSMEÃ‘A, SR.",OSM,LA PAZ
Barangay,PANAGANGAN,PAN,LA PAZ
Barangay,POBLACION,POB,LA PAZ
Barangay,SABANG ADGAWAN,SAB,LA PAZ
Barangay,SAGUNTO,SAG,LA PAZ
Barangay,SAN PATRICIO,SPN,LA PAZ
Barangay,VALENTINA,VAL,LA PAZ
Barangay,VILLA PAZ,VPL,LA PAZ
Municipality,LORETO,LOR,AGUSAN DEL SUR
Barangay,BINUCAYAN,BIN,LORETO
Barangay,JOHNSON,JOH,LORETO
Barangay,KASAPA,KAS,LORETO
Barangay,KATIPUNAN,KAT,LORETO
Barangay,KAUSWAGAN,KAU,LORETO
Barangay,MAGAUD,MAG,LORETO
Barangay,NUEVA GRACIA,NGE,LORETO
Barangay,POBLACION,POB,LORETO
Barangay,SABUD,SAB,LORETO
Barangay,SAN ISIDRO,SIN,LORETO
Barangay,SAN MARIANO,SMN,LORETO
Barangay,SAN VICENTE,SVN,LORETO
Barangay,SANTA TERESA,STN,LORETO
Barangay,SANTO NIÃ‘O,SNN,LORETO
Barangay,SANTO TOMAS,ST1,LORETO
Barangay,VIOLANTA,VIO,LORETO
Barangay,WALOE,WAL,LORETO
Municipality,PROSPERIDAD,PRO,AGUSAN DEL SUR
Barangay,AURORA,AUR,PROSPERIDAD
Barangay,AWA,AWA,PROSPERIDAD
Barangay,AZPETIA,AZP,PROSPERIDAD
Barangay,LA CARIDAD,LCX,PROSPERIDAD
Barangay,LA PERIAN,LPX,PROSPERIDAD
Barangay,LA PURISIMA,LP1,PROSPERIDAD
Barangay,LA SUERTE,LSX,PROSPERIDAD
Barangay,LA UNION,LUX,PROSPERIDAD
Barangay,LAS NAVAS,LNS,PROSPERIDAD
Barangay,LIBERTAD,LIB,PROSPERIDAD
Barangay,LOS ARCOS,LAS,PROSPERIDAD
Barangay,LUCENA,LUC,PROSPERIDAD
Barangay,MABUHAY,MAB,PROSPERIDAD
Barangay,MAGSAYSAY,MAG,PROSPERIDAD
Barangay,MAPAGA,MAP,PROSPERIDAD
Barangay,NAPO,NAP,PROSPERIDAD
Barangay,NEW MAUG,NMW,PROSPERIDAD
Barangay,PATIN-AY,PAT,PROSPERIDAD
Barangay,POBLACION (BAHBAH),POB,PROSPERIDAD
Barangay,SALIMBOGAON,SAL,PROSPERIDAD
Barangay,SALVACION,SA1,PROSPERIDAD
Barangay,SAN JOAQUIN,SJN,PROSPERIDAD
Barangay,SAN JOSE,SJ1,PROSPERIDAD
Barangay,SAN LORENZO,SLN,PROSPERIDAD
Barangay,SAN MARTIN,SMN,PROSPERIDAD
Barangay,SAN PEDRO,SPN,PROSPERIDAD
Barangay,SAN RAFAEL,SRN,PROSPERIDAD
Barangay,SAN ROQUE,SR1,PROSPERIDAD
Barangay,SAN SALVADOR,SSN,PROSPERIDAD
Barangay,SAN VICENTE,SVN,PROSPERIDAD
Barangay,SANTA IRENE,SIN,PROSPERIDAD
Barangay,SANTA MARIA,SM1,PROSPERIDAD
Municipality,ROSARIO,ROS,AGUSAN DEL SUR
Barangay,BAYUGAN 3,BA3,ROSARIO
Barangay,CABANTAO,CAB,ROSARIO
Barangay,CABAWAN,CA1,ROSARIO
Barangay,LIBUAC,LIB,ROSARIO
Barangay,MALIGAYA,MAL,ROSARIO
Barangay,MARFIL,MAR,ROSARIO
Barangay,NOVELE,NOV,ROSARIO
Barangay,POBLACION,POB,ROSARIO
Barangay,SANTA CRUZ,SCN,ROSARIO
Barangay,TAGBAYAGAN,TAG,ROSARIO
Barangay,WASI-AN,WAS,ROSARIO
Municipality,SAN FRANCISCO,SFN,AGUSAN DEL SUR
Barangay,ALEGRIA,ALE,SAN FRANCISCO
Barangay,BARANGAY 1 (POB.),BA1,SAN FRANCISCO
Barangay,BARANGAY 2 (POB.),BA2,SAN FRANCISCO
Barangay,BARANGAY 3 (POB.),BA3,SAN FRANCISCO
Barangay,BARANGAY 4 (POB.),BA4,SAN FRANCISCO
Barangay,BARANGAY 5 (POB.),BA5,SAN FRANCISCO
Barangay,BAYUGAN 2,BA6,SAN FRANCISCO
Barangay,BITAN-AGAN,BIT,SAN FRANCISCO
Barangay,BORBON,BOR,SAN FRANCISCO
Barangay,BUENASUERTE,BUE,SAN FRANCISCO
Barangay,CAIMPUGAN,CAI,SAN FRANCISCO
Barangay,DAS-AGAN,DAS,SAN FRANCISCO
Barangay,EBRO,EBR,SAN FRANCISCO
Barangay,HUBANG,HUB,SAN FRANCISCO
Barangay,KARAUS,KAR,SAN FRANCISCO
Barangay,LADGADAN,LAD,SAN FRANCISCO
Barangay,LAPINIGAN,LAP,SAN FRANCISCO
Barangay,LUCAC,LUC,SAN FRANCISCO
Barangay,MATE,MAT,SAN FRANCISCO
Barangay,NEW VISAYAS,NVW,SAN FRANCISCO
Barangay,ORMACA,ORM,SAN FRANCISCO
Barangay,PASTA,PAS,SAN FRANCISCO
Barangay,PISA-AN,PIS,SAN FRANCISCO
Barangay,RIZAL,RIZ,SAN FRANCISCO
